Company Name,Executive First Name,Executive Last Name,Executive Gender,Executive Title,Executive Ethnicity,Address,City,State,ZIP Code,Record Type,Phone Number,Website,Primary SIC Description,Location Sales Range,Credit Alpha Score
Shoprite Pharmacy,Joseph,Low,Male,Site Manager,Western Europe,3600 E Landis Ave # 1,Vineland,NJ,8361,Verified,(856) 691-7722,Shoprite.Com,Pharmacies,$2.5-5 Million,B+
Shore Point Distributing Co,James,Annarella,Male,President,Mediterranean,100 Shore Point Dr,Freehold,NJ,7728,Verified,(732) 308-3334,Shorepoint.Com,Beer & Ale-Wholesale,$100-500 Million,A+
Silva's Orchids,Joseph,Silva,Male,Owner,Hispanic,635 Wayside Rd,Neptune,NJ,7753,Verified,(732) 922-2635,Silvaorchids.Com,Florists-Retail,"$500,000-1 Million",B+
Smart Foods,Daniel,Munoz,Male,Owner,Hispanic,72 Wabash Ave,Clifton,NJ,7011,Verified,(973) 778-7700,Smartfoodsinc.Us,Food Products (Whls),$5-10 Million,B
Sod Exo,Mark,Skutnik,Male,Director,Eastern European,20 Commerce Dr,Cranford,NJ,7016,Verified,(908) 272-7862,NULL,Food Service-Management,"Less Than $500,000",C
Spice Chain Corp,Alan,Silverman,Male,Owner,Not Available,9 Elkins Rd,East Brunswick,NJ,8816,Verified,(732) 518-1100,Spicechain.Com,Spices-Wholesale,$100-500 Million,A
Star Ravioli Mfg Co,Laurence,Piretra,Male,President,Hispanic,2 Anderson Ave # 2,Moonachie,NJ,7074,Verified,(201) 933-6427,Starravioli.Com,Macaroni Spaghetti & Noodles (Mfrs),$1-2.5 Million,A
Starbucks,Megan,Ferrera,Female,Manager,Hispanic,184 Columbia Tpke # 14,Florham Park,NJ,7932,Verified,(973) 443-0484,Starbucks.Com,Coffee Shops,$1-2.5 Million,A
Summit Motor Products Inc,Sanford,Landa,Male,President,Hispanic,827 Ridgewood Ave # 3,North Brunswick,NJ,8902,Verified,(732) 249-3484,NULL,Automobile Parts & Supplies-Wholesale,$20-50 Million,A
Sun Grove Foods Inc,Joanne,Lacina,Female,Executive VP,Eastern European,45 Tulip St,Passaic,NJ,7055,Verified,(973) 574-1110,Oleavesoliveoil.Com,Food Products (Whls),$10-20 Million,B+
Sunco Natural Food LLC,Jessica,Ramirez,Female,Manager,Hispanic,489 Getty Ave # 1,Clifton,NJ,7011,Verified,(973) 478-1011,NULL,Food Products (Whls),$5-10 Million,B
Sunny Delight Beverages Co,Labrado,Guerrero,Male,Mfg Exec,Hispanic,10 Corn Rd,Dayton,NJ,8810,Verified,(732) 329-2391,NULL,Juices-Manufacturers,$50-100 Million,A+
Sunny Valley Intl,Carlos,Paul,Male,President,Western Europe,800 Ellis St # A,Glassboro,NJ,8028,Verified,(856) 881-0200,Sunnyint.Com,Fruits & Vegetables-Brokers (Whls),$10-20 Million,A
Super Bread II Corp,Armenio,Martins,Male,Owner,Mediterranean,443 Chili St,Elizabeth,NJ,7206,Verified,(908) 688-8210,NULL,Distribution Services,$20-50 Million,B+
Super Supermarket,Christopher,Lopez,Male,Owner,Hispanic,810 N 6th St,Newark,NJ,7107,Verified,(973) 485-3330,Supersupernewark.Com,Markets & Grocers Equip & Supls (Whls),$50-100 Million,A
Superfresh,Mael,Montesdeoca,Male,General Mgr,Hispanic,937 Lincoln Ave,Glen Rock,NJ,7452,Verified,(201) 345-2261,Keyfood.Com,Grocers-Retail,$10-20 Million,A
Supremo Food Market,Eddie,Trujillo,Male,President,Hispanic,249 E Front St,Plainfield,NJ,7060,Verified,(908) 668-9855,Supremofoods.Homestead.Com,Groceries & Related Products NEC (Whls),$5-10 Million,B+
Surfside Products,Peter,LA Monica,Male,President,Hispanic,1733 Main St,Port Norris,NJ,8349,Verified,(856) 785-2115,Surfsidefoods.Com,Food Products & Manufacturers,$20-50 Million,A
Takasago International Corp,Hasiya,Sujiwara,Male,President,Far Eastern,4 Volvo Dr,Rockleigh,NJ,7647,Verified,(201) 767-9001,Takasago.Com,Fragrance-Manufacturers,$50-100 Million,A
Taveras Brothers LLC,Rene,Taveras,Male,President,Hispanic,394 Central Ave,Newark,NJ,7103,Verified,(973) 242-7611,NULL,Grocers-Wholesale,$10-20 Million,A
Taylor Farms New Jersey,Amy,Steenrod,Female,Director,Western Europe,406 Heron Dr # A,Swedesboro,NJ,8085,Verified,(856) 241-0097,Taylorfarms.Com,Farms,0,B
Thayer Distribution,Guido,Gallicchio,Male,CEO,Mediterranean,333 Swedesboro Ave,Gibbstown,NJ,8027,Verified,(856) 687-0000,Thayerdistribution.Com,Candy & Confectionery-Wholesale,0,A+
Thomas Sweet Ice Cream,Marco,Cuchi,Male,Owner,Hispanic,183 Nassau St # A,Princeton,NJ,8542,Verified,(609) 683-8720,Thomassweet.Com,Ice Cream Parlors,"$500,000-1 Million",B+
Torico Ice Cream,Pete,Berrios,Male,Owner,Hispanic,20 Erie St,Jersey City,NJ,7302,Verified,(201) 432-9458,Toricoicecream.Com,Ice Cream Parlors,"Less Than $500,000",C+
Tribeca Oven,George,Erasmus,Male,Executive VP,Western Europe,447 Gotham Pkwy,Carlstadt,NJ,7072,Verified,(201) 935-8800,Tribecaoven.Com,Bakers-Retail,0,B+
Tropical Juice Bar,Carlos,Lopez,Male,Other,Hispanic,198 Myrtle Ave,Passaic,NJ,7055,Verified,(973) 928-3800,Tropicaljuicebar.Com,Juice Bars,"Less Than $500,000",C+
Tropicana Products Inc,Joe,Dolan,Male,Manager,Western Europe,9 Linden Ave E,Jersey City,NJ,7305,Verified,(201) 332-2332,NULL,Beverages (Whls),$100-500 Million,A+
Twin City Supermarkets,Lazzlo,Diaz,Male,Owner,Hispanic,611 Broadway,Newark,NJ,7104,Verified,(973) 481-9468,Twincitynewark.Com,Grocers-Retail,$10-20 Million,A
Umbria Olii Intl USA Inc,Natasha,Balseca,Female,Manager,Hispanic,2450 Lemoine Ave,Fort Lee,NJ,7024,Verified,(201) 408-4715,Umbriaolii.Com,Oils-Vegetable (Whls),$5-10 Million,B
Unilever,Ruth,Brillantes,Female,Partner,Hispanic,800 Sylvan Ave,Englewood Cliffs,NJ,7632,Verified,(201) 567-8000,Unilever.Com,Food Products (Whls),$50-100 Million,A+
Unilever Food Solutions,Craig,Gentry,Male,Vice President,Western Europe,700 Sylvan Ave # 4,Englewood Cliffs,NJ,7632,Verified,(800) 298-5018,Unileverfoodsolutions.Us,Food Products (Whls),0,A+
US Foods,Chuck,Gannon,Male,President,Western Europe,1051 Amboy Ave,Perth Amboy,NJ,8861,Verified,(732) 442-4053,Usfoodservice.Com,Food Service-Distributors (Whls),$50-100 Million,A+
US Foods,Lori,Glitzer,Female,President,Uncoded,244 High Hill Rd,Swedesboro,NJ,8085,Verified,(732) 442-4053,Usfoodservice.Com,Food Service-Distributors (Whls),$50-100 Million,A+
V P Foods Inc,Fernando,Posadas,Male,Owner,Hispanic,30 Industrial Ave,Fairview,NJ,7022,Verified,(201) 941-0266,Vpfoods.Com,Meat-Wholesale,$2.5-5 Million,B+
Vida's Berries,Cornelia,Rosario,Female,Owner,Hispanic,171 Lakeview Ave,Clifton,NJ,7011,Verified,(856) 535-3350,NULL,Food Facilities (Whls),$5-10 Million,C
Vieira's Bakery,Carlos,Vieira,Male,President,Hispanic,34 Avenue K,Newark,NJ,7105,Verified,(973) 589-7719,Vieirasbakery.Com,Bakers-Wholesale,$20-50 Million,A
Villa Restaurant Group,Anthony,Scotto,Male,CEO,Mediterranean,25 Washington St # 3,Morristown,NJ,7960,Verified,(973) 285-4800,Villapizza.Com,Restaurant Management,0,A
W B Law & Son,David,Mendez,Male,Owner,Hispanic,280 Wilson Ave # 2,Newark,NJ,7105,Verified,(973) 344-2270,Javatechs.Com,Coffee & Tea-Wholesale,$50-100 Million,A
Wakefern Food Corp,Joseph S,Colalillo,Male,CEO,Mediterranean,5000 Riverside Dr,Keasbey,NJ,8832,Verified,(908) 527-3300,Www2.Wakefern.Com,Grocers-Retail,0,A+
Wawa Food Market,Jacqueline,Montanez,Female,Manager,Hispanic,440 King Georges Rd,Woodbridge,NJ,7095,Verified,(732) 442-5690,Wawa.Com,Convenience Stores,$5-10 Million,A
Welch Holme & Clark Co,William,Dugan,Male,President,Western Europe,7 Avenue L,Newark,NJ,7105,Verified,(973) 465-1200,Whc-Oils.Com,Oils-Vegetable (Whls),$10-20 Million,A
Well Luck Co Inc,Chris,Lie,Male,CEO,Scandinavian,104 Harbor Dr # 1,Jersey City,NJ,7305,Verified,(201) 434-1177,Welluck.Com,Food Products (Whls),0,A+
Western Live Poultry Market,Joe,Garcia,Male,Owner,Hispanic,907 Bergenline Ave,Union City,NJ,7087,Verified,(201) 865-6247,NULL,Poultry-Retail,"Less Than $500,000",C+
White Toque,Didier,Amiel,Male,Owner,Western Europe,11 Enterprise Ave N,Secaucus,NJ,7094,Verified,(201) 863-6699,NULL,Frozen Foods-Wholesale,$10-20 Million,A
William Grant & Sons USA,Karen,Novak,Female,Partner,Eastern European,130 Fieldcrest Ave,Edison,NJ,8837,Verified,(732) 225-9000,Williamgrantusa.Com,Distillers (Mfrs),0,A
Wine & Spirit World,Sevan,Jessourian,Male,Manager,Centl & SW Asian,303 Franklin Ave # 2,Wyckoff,NJ,7481,Verified,(201) 891-7770,Wineandspiritworld.Net,Liquors-Retail,$2.5-5 Million,A
Wine Enterprises LLC,Maria,Nobre,Female,President,Hispanic,37 Malvern St,Newark,NJ,7105,Verified,(973) 465-1080,Wine-Enterprises.Com,Wines-Wholesale,$5-10 Million,B
Winebow Inc,David B,Townsend,Male,CEO,Western Europe,20 Hook Mountain Rd # 103a,Pine Brook,NJ,7058,Verified,(201) 445-0620,Winebow.Com,Importers (Whls),$20-50 Million,A+
World Class Kitchen,Jesus,Munoz,Male,Exec Director,Hispanic,1930 E Elizabeth Ave,Linden,NJ,7036,Verified,(908) 925-1550,NULL,Food Products (Whls),$100-500 Million,A+
Zayat Stables LLC,Ahmed,Zayat,Male,CEO,Middle Eastern,401 Hackensack Ave # 703,Hackensack,NJ,7601,Verified,(201) 518-1800,NULL,Horse Racing,$50-100 Million,U
Zunbai Product LLC,Carlos,Zuniga,Male,Other,Hispanic,200 South Ave,Middlesex,NJ,8846,Verified,(732) 862-4678,NULL,Food Products (Whls),$10-20 Million,B+
